Campeonato,ValorTotal,DiasPassados,Dia
The International 2021,1600000,1,25/05/2020
,8152515,2,26/05/2020
,9468329,3,27/05/2020
,10225818,4,28/05/2020
,10869867,5,29/05/2020
,11411851,6,30/05/2020
,11812494,7,31/05/2020
,12120584,8,01/06/2020
,12400743,9,02/06/2020
,12646793,10,03/06/2020
,12862119,11,04/06/2020
,13119241,12,05/06/2020
,13355871,13,06/06/2020
,13537275,14,07/06/2020
,13687665,15,08/06/2020
,13832386,16,09/06/2020
,13978949,17,10/06/2020
,14115199,18,11/06/2020
,14533292,19,12/06/2020
,14810413,20,13/06/2020
,14995000,21,14/06/2020
,15148356,22,15/06/2020
,15283758,23,16/06/2020
,15398407,24,17/06/2020
,15511589,25,18/06/2020
,15627433,26,19/06/2020
,15736671,27,20/06/2020
,15831882,28,21/06/2020
,15912310,29,22/06/2020
,15990234,30,23/06/2020
,16073777,31,24/06/2020
,20090247,32,25/06/2020
,21507292,33,26/06/2020
,22573423,34,27/06/2020
,23507820,35,28/06/2020
,23928866,36,29/06/2020
,24158171,37,30/06/2020
,24376847,38,01/07/2020
,24591854,39,02/07/2020
,26313643,40,03/07/2020
,26913356,41,04/07/2020
,27238035,42,05/07/2020
,27467966,43,06/07/2020
,27657281,44,07/07/2020
,27834542,45,08/07/2020
,27995107,46,09/07/2020
,28160448,47,10/07/2020
,28366277,48,11/07/2020
,28512653,49,12/07/2020
,28633474,50,13/07/2020
,28750452,51,14/07/2020
,28870201,52,15/07/2020
,28968269,53,16/07/2020
,29060473,54,17/07/2020
,29153072,55,18/07/2020
,29235508,56,19/07/2020
,29309628,57,20/07/2020
,29387818,58,21/07/2020
,29461037,59,22/07/2020
,29532397,60,23/07/2020
,29614676,61,24/07/2020
,29848311,62,25/07/2020
,29970235,63,26/07/2020
,30067548,64,27/07/2020
,30178432,65,28/07/2020
,30320835,66,29/07/2020
,30453064,67,30/07/2020
,30582988,68,31/07/2020
,30721328,69,01/08/2020
,30882022,70,02/08/2020
