Campeonato,Categoria,ValorTotal,ValorDia,DiasPassados,Dia,PremioCampeao,ValorPremioCampeao,PremioSegundo,ValorPremioSegundo,PremioTerceiro,ValorPremioTerceiro,Campeao,Segundo,Terceiro
The International 2021,TI,1600000,1600000,1,25/05/2020,"45,5","18208278,725",13,"5202365,35",9,"3601637,55",Team Spirit,PSG.LGD,Team Secret
,TI,8152515,6552515,2,26/05/2020,,,,,,,,,
,TI,9468329,1315814,3,27/05/2020,,,,,,,,,
,TI,10225818,757489,4,28/05/2020,,,,,,,,,
,TI,10869867,644049,5,29/05/2020,,,,,,,,,
,TI,11411851,541984,6,30/05/2020,,,,,,,,,
,TI,11812494,400643,7,31/05/2020,,,,,,,,,
,TI,12120584,308090,8,01/06/2020,,,,,,,,,
,TI,12400743,280159,9,02/06/2020,,,,,,,,,
,TI,12646793,246050,10,03/06/2020,,,,,,,,,
,TI,12862119,215326,11,04/06/2020,,,,,,,,,
,TI,13119241,257122,12,05/06/2020,,,,,,,,,
,TI,13355871,236630,13,06/06/2020,,,,,,,,,
,TI,13537275,181404,14,07/06/2020,,,,,,,,,
,TI,13687665,150390,15,08/06/2020,,,,,,,,,
,TI,13832386,144721,16,09/06/2020,,,,,,,,,
,TI,13978949,146563,17,10/06/2020,,,,,,,,,
,TI,14115199,136250,18,11/06/2020,,,,,,,,,
,TI,14533292,418093,19,12/06/2020,,,,,,,,,
,TI,14810413,277121,20,13/06/2020,,,,,,,,,
,TI,14995000,184587,21,14/06/2020,,,,,,,,,
,TI,15148356,153356,22,15/06/2020,,,,,,,,,
,TI,15283758,135402,23,16/06/2020,,,,,,,,,
,TI,15398407,114649,24,17/06/2020,,,,,,,,,
,TI,15511589,113182,25,18/06/2020,,,,,,,,,
,TI,15627433,115844,26,19/06/2020,,,,,,,,,
,TI,15736671,109238,27,20/06/2020,,,,,,,,,
,TI,15831882,95211,28,21/06/2020,,,,,,,,,
,TI,15912310,80428,29,22/06/2020,,,,,,,,,
,TI,15990234,77924,30,23/06/2020,,,,,,,,,
,TI,16073777,83543,31,24/06/2020,,,,,,,,,
,TI,20090247,4016470,32,25/06/2020,,,,,,,,,
,TI,21507292,1417045,33,26/06/2020,,,,,,,,,
,TI,22573423,1066131,34,27/06/2020,,,,,,,,,
,TI,23507820,934397,35,28/06/2020,,,,,,,,,
,TI,23928866,421046,36,29/06/2020,,,,,,,,,
,TI,24158171,229305,37,30/06/2020,,,,,,,,,
,TI,24376847,218676,38,01/07/2020,,,,,,,,,
,TI,24591854,215007,39,02/07/2020,,,,,,,,,
,TI,26313643,1721789,40,03/07/2020,,,,,,,,,
,TI,26913356,599713,41,04/07/2020,,,,,,,,,
,TI,27238035,324679,42,05/07/2020,,,,,,,,,
,TI,27467966,229931,43,06/07/2020,,,,,,,,,
,TI,27657281,189315,44,07/07/2020,,,,,,,,,
,TI,27834542,177261,45,08/07/2020,,,,,,,,,
,TI,27995107,160565,46,09/07/2020,,,,,,,,,
,TI,28160448,165341,47,10/07/2020,,,,,,,,,
,TI,28366277,205829,48,11/07/2020,,,,,,,,,
,TI,28512653,146376,49,12/07/2020,,,,,,,,,
,TI,28633474,120821,50,13/07/2020,,,,,,,,,
,TI,28750452,116978,51,14/07/2020,,,,,,,,,
,TI,28870201,119749,52,15/07/2020,,,,,,,,,
,TI,28968269,98068,53,16/07/2020,,,,,,,,,
,TI,29060473,92204,54,17/07/2020,,,,,,,,,
,TI,29153072,92599,55,18/07/2020,,,,,,,,,
,TI,29235508,82436,56,19/07/2020,,,,,,,,,
,TI,29309628,74120,57,20/07/2020,,,,,,,,,
,TI,29387818,78190,58,21/07/2020,,,,,,,,,
,TI,29461037,73219,59,22/07/2020,,,,,,,,,
,TI,29532397,71360,60,23/07/2020,,,,,,,,,
,TI,29614676,82279,61,24/07/2020,,,,,,,,,
,TI,29848311,233635,62,25/07/2020,,,,,,,,,
,TI,29970235,121924,63,26/07/2020,,,,,,,,,
,TI,30067548,97313,64,27/07/2020,,,,,,,,,
,TI,30178432,110884,65,28/07/2020,,,,,,,,,
,TI,30320835,142403,66,29/07/2020,,,,,,,,,
,TI,30453064,132229,67,30/07/2020,,,,,,,,,
,TI,30582988,129924,68,31/07/2020,,,,,,,,,
,TI,30721328,138340,69,01/08/2020,,,,,,,,,
,TI,30882022,160694,70,02/08/2020,,,,,,,,,
,TI,31014075,132053,71,03/08/2020,,,,,,,,,
,TI,31059699,45624,72,04/08/2020,,,,,,,,,
,TI,31103482,43783,73,05/08/2020,,,,,,,,,
,TI,31136895,33413,74,06/08/2020,,,,,,,,,
,TI,31183380,46485,75,07/08/2020,,,,,,,,,
,TI,31229903,46523,76,08/08/2020,,,,,,,,,
,TI,31270970,41067,77,09/08/2020,,,,,,,,,
,TI,31310048,39078,78,10/08/2020,,,,,,,,,
,TI,31350552,40504,79,11/08/2020,,,,,,,,,
,TI,31391049,40497,80,12/08/2020,,,,,,,,,
,TI,31428463,37414,81,13/08/2020,,,,,,,,,
,TI,31469714,41251,82,14/08/2020,,,,,,,,,
,TI,32918603,1448889,83,15/08/2020,,,,,,,,,
,TI,33235777,317174,84,16/08/2020,,,,,,,,,
,TI,33424476,188699,85,17/08/2020,,,,,,,,,
,TI,33567609,143133,86,18/08/2020,,,,,,,,,
,TI,33683224,115615,87,19/08/2020,,,,,,,,,
,TI,33788828,105604,88,20/08/2020,,,,,,,,,
,TI,33925916,137088,89,21/08/2020,,,,,,,,,
,TI,34039001,113085,90,22/08/2020,,,,,,,,,
,TI,34135695,96694,91,23/08/2020,,,,,,,,,
,TI,34216549,80854,92,24/08/2020,,,,,,,,,
,TI,34304062,87513,93,25/08/2020,,,,,,,,,
,TI,34382169,78107,94,26/08/2020,,,,,,,,,
,TI,34481259,99090,95,27/08/2020,,,,,,,,,
,TI,34573857,92598,96,28/08/2020,,,,,,,,,
,TI,34669097,95240,97,29/08/2020,,,,,,,,,
,TI,34752344,83247,98,30/08/2020,,,,,,,,,
,TI,34828032,75688,99,31/08/2020,,,,,,,,,
,TI,34907492,79460,100,01/09/2020,,,,,,,,,
,TI,34988233,80741,101,02/09/2020,,,,,,,,,
,TI,35063220,74987,102,03/09/2020,,,,,,,,,
,TI,35207204,143984,103,04/09/2020,,,,,,,,,
,TI,35629065,421861,104,05/09/2020,,,,,,,,,
,TI,35832947,203882,105,06/09/2020,,,,,,,,,
,TI,35977164,144217,106,07/09/2020,,,,,,,,,
,TI,36113950,136786,107,08/09/2020,,,,,,,,,
,TI,36226315,112365,108,09/09/2020,,,,,,,,,
,TI,36347226,120911,109,10/09/2020,,,,,,,,,
